Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Vendor,Pack Price,Unit Price,Unit of Measure (Per Pack),Shipment Mode,Product Group,Manufacturing Site,Freight Cost (USD)
29-Jan-08,29-Jan-08,29-Jan-08,"JSI R&T INSTITUTE, INC.",7.94,0.04,200,0,ARV,GSK Mississauga (Canada),Freight Included in Commodity Cost
21-Jan-08,21-Jan-08,21-Jan-08,"GILEAD SCIENCES IRELAND, INC.",17.0,0.57,30,Air,ARV,Gilead(Nycomed) Oranienburg DE,2282.57
21-Jan-08,21-Jan-08,21-Jan-08,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),8.38,0.14,60,Air,ARV,"Ranbaxy, Paonta Shahib, India",2149.05
31-Jan-08,31-Jan-08,31-Jan-08,"Orgenics, Ltd",0.01,0.0,100,Air,HRDT,Inverness Japan,0.75
5-Feb-08,5-Feb-08,5-Feb-08,"Orgenics, Ltd",0.01,0.0,100,Air,HRDT,Inverness Japan,Invoiced Separately
21-Jan-08,4-Jan-08,4-Jan-08,"JSI R&T INSTITUTE, INC.",1.7,0.01,200,0,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
18-Feb-08,18-Feb-08,18-Feb-08,"Trinity Biotech, Plc",139.0,1.39,100,Air,HRDT,"Trinity Biotech, Plc",Invoiced Separately
17-Jun-08,17-Jun-08,17-Jun-08,BIO-RAD LABORATORIES (FRANCE),76.0,1.9,40,Air,HRDT,Bio-Rad Laboratories,5446.51
19-Mar-09,19-Mar-09,19-Mar-09,"Standard Diagnostics, Inc.",20.0,0.8,25,Air,HRDT,"Standard Diagnostics, Korea",2656.12
9-Apr-08,1-Apr-08,1-Apr-08,"Orgenics, Ltd",0.01,0.0,100,Air,HRDT,Inverness Japan,Invoiced Separately
28-Jul-08,28-Jul-08,28-Jul-08,"Orgenics, Ltd",0.01,0.0,100,Air,HRDT,Inverness Japan,360
11-Mar-08,11-Mar-08,11-Mar-08,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,212.69,2.13,100,0,HRDT,"Trinity Biotech, Plc",Freight Included in Commodity Cost
17-Nov-08,17-Nov-08,17-Nov-08,"Orgenics, Ltd",71.99,0.72,100,Air,HRDT,Inverness Japan,4112.46
17-Apr-08,17-Apr-08,17-Apr-08,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",27.0,1.35,20,Air,HRDT,Chembio Diagnostics Sys. Inc.,5468.88
4-Jun-08,4-Jun-08,4-Jun-08,"Orgenics, Ltd",71.99,0.72,100,Air,HRDT,Inverness Japan,1715.17
3-Jun-08,3-Jun-08,3-Jun-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11.48,0.38,30,Air,ARV,Mylan (formerly Matrix) Nashik,4051.34
24-Apr-08,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,67.51,0.25,270,Truck,ARV,Roche Basel,Freight Included in Commodity Cost
24-Apr-08,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,1.45,0.01,200,Truck,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
12-Jul-08,12-Jul-08,12-Jul-08,BRISTOL-MYERS SQUIBB,7.0,0.12,60,Air,ARV,"BMS Meymac, France",2211.05
25-Apr-08,7-Apr-08,7-Apr-08,S. BUYS WHOLESALER,12.85,0.21,60,0,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
9-Jul-08,9-Jul-08,9-Jul-08,"Orgenics, Ltd",79.99,0.8,100,Air,HRDT,Inverness Japan,16090.22
9-Jul-08,4-Jul-08,4-Jul-08,"Orgenics, Ltd",0.01,0.0,100,Air,HRDT,Inverness Japan,Invoiced Separately
9-May-08,9-May-08,9-May-08,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,46.09,2.3,20,Air,HRDT,"Trinity Biotech, Plc",Freight Included in Commodity Cost
19-Sep-08,19-Sep-08,19-Sep-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),13.66,0.46,30,Air,ARV,Mylan (formerly Matrix) Nashik,13507.92
20-Aug-08,20-Aug-08,20-Aug-08,S. BUYS WHOLESALER,5.17,0.09,60,Truck,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
20-Aug-08,8-May-08,8-May-08,S. BUYS WHOLESALER,19.06,0.64,30,Truck,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
20-Aug-08,8-May-08,8-May-08,S. BUYS WHOLESALER,1.53,0.01,200,Truck,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
2-Sep-08,2-Sep-08,2-Sep-08,BRISTOL-MYERS SQUIBB,23.67,0.79,30,Air,ARV,"BMS Meymac, France",645.1
30-Sep-08,30-Sep-08,30-Sep-08,Orasure Technologies Inc.,350.0,3.5,100,Air,HRDT,"Pacific Biotech, Thailand",782.13
24-Nov-08,24-Nov-08,24-Nov-08,"Trinity Biotech, Plc",139.0,1.39,100,Air,HRDT,"Trinity Biotech, Plc",871.57
12-Jun-08,9-Jun-08,9-Jun-08,S. BUYS WHOLESALER,34.98,0.58,60,Truck,ARV,GSK Ware (UK),Freight Included in Commodity Cost
19-Sep-08,19-Sep-08,19-Sep-08,Aurobindo Pharma Limited,2.4,0.04,60,Air,ARV,"Aurobindo Unit III, India",18614.72
25-Feb-09,9-Sep-08,9-Sep-08,IDA FOUNDATION,45.52,0.08,540,Air,ACT,"Novartis Pharma AG, Switzerland",1755.87
8-Oct-08,8-Oct-08,8-Oct-08,Aurobindo Pharma Limited,1.45,0.02,60,Air,ARV,"Aurobindo Unit III, India",10179.16
10-Jul-08,8-Jul-08,8-Jul-08,S. BUYS WHOLESALER,13.93,0.06,240,Truck,ARV,"BI, Ingelheim, Germany",Freight Included in Commodity Cost
27-Nov-08,27-Nov-08,27-Nov-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),10.19,0.34,30,Air,ARV,Mylan (formerly Matrix) Nashik,4686.88
15-Aug-08,15-Aug-08,15-Aug-08,ZEPHYR BIOMEDICALS,37.5,1.5,25,Air,MRDT,Not Applicable,180
20-Oct-08,20-Oct-08,20-Oct-08,"Orgenics, Ltd",71.99,0.72,100,Air,HRDT,Inverness Japan,11062.05
18-Sep-08,18-Sep-08,18-Sep-08,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",Invoiced Separately
2-Oct-08,2-Oct-08,2-Oct-08,BIO-RAD LABORATORIES (FRANCE),76.0,1.9,40,Air,HRDT,Bio-Rad Laboratories,11298.13
23-Jan-09,23-Jan-09,23-Jan-09,IDA FOUNDATION,0.39,0.03,12,Air,ACT,Ipca Dadra/Nagar Haveli IN,12830.91
10-Mar-09,8-Apr-09,8-Apr-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),50.4,1.68,30,Air,ARV,"MSD, Haarlem, NL",Freight Included in Commodity Cost
29-Oct-08,29-Oct-08,29-Oct-08,"Orgenics, Ltd",71.99,0.72,100,Air,HRDT,Inverness Japan,2698.04
28-Nov-08,28-Nov-08,28-Nov-08,"Trinity Biotech, Plc",30.0,15.0,2,Air,HRDT,"Trinity Biotech, Plc",578.01
23-Jan-09,23-Jan-09,23-Jan-09,"Standard Diagnostics, Inc.",20.0,0.8,25,Air,HRDT,"Standard Diagnostics, Korea",1122.24
17-May-09,9-Oct-08,9-Oct-08,S. BUYS WHOLESALER,22.88,0.76,30,Truck,ARV,"Aspen-OSD, Port Elizabeth, SA",Freight Included in Commodity Cost
17-May-09,17-May-09,17-May-09,S. BUYS WHOLESALER,22.88,0.76,30,Truck,ARV,"Aspen-OSD, Port Elizabeth, SA",Freight Included in Commodity Cost
17-May-09,9-Oct-08,9-Oct-08,S. BUYS WHOLESALER,1.43,0.01,200,Truck,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
17-May-09,9-Oct-08,9-Oct-08,S. BUYS WHOLESALER,13.05,0.22,60,Truck,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
17-May-09,9-Oct-08,9-Oct-08,S. BUYS WHOLESALER,34.39,0.11,300,Truck,ARV,ABBVIE (Abbott) Logis. UK,Freight Included in Commodity Cost
6-Feb-09,6-Feb-09,6-Feb-09,ZEPHYR BIOMEDICALS,37.5,1.5,25,Air,MRDT,Not Applicable,Freight Included in Commodity Cost
21-Apr-09,21-Apr-09,21-Apr-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),50.4,1.68,30,Air,ARV,"MSD, Haarlem, NL",9339
2-Mar-09,2-Mar-09,2-Mar-09,IDA FOUNDATION,19.51,0.2,100,Air,ANTM,Gland Pharma Ltd Pally Factory,25405.22
23-Mar-09,23-Mar-09,23-Mar-09,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",23914.8
10-Apr-09,10-Apr-09,10-Apr-09,Aurobindo Pharma Limited,8.61,0.14,60,Air,ARV,"Aurobindo Unit III, India",12835.2
10-Apr-09,10-Apr-09,10-Apr-09,Aurobindo Pharma Limited,2.4,0.04,60,Air,ARV,"Aurobindo Unit III, India",See ASN-3562 (ID#:960)
23-Mar-09,23-Mar-09,23-Mar-09,CIPLA LIMITED,6.9,0.12,60,Air,ARV,"Cipla, Goa, India",4225.93
16-Mar-09,16-Mar-09,16-Mar-09,Aurobindo Pharma Limited,8.61,0.14,60,Air,ARV,"Aurobindo Unit III, India",892.5
28-May-09,28-May-09,28-May-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),41.1,0.14,300,Air,ARV,ABBVIE (Abbott) Logis. UK,6668.61
4-May-09,4-May-09,4-May-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),10.28,0.17,60,Air,ARV,ABBVIE Ludwigshafen Germany,Freight Included in Commodity Cost
28-Apr-09,28-Apr-09,28-Apr-09,Premier Medical Corporation Ltd.,22.5,0.75,30,Air,HRDT,Premier Med. Corp Ltd. India,12595.81
30-Sep-09,30-Sep-09,30-Sep-09,BRISTOL-MYERS SQUIBB,23.67,0.79,30,Air,ARV,"BMS Meymac, France",463
31-Mar-09,31-Mar-09,31-Mar-09,BRISTOL-MYERS SQUIBB,9.5,0.16,60,Air,ARV,"BMS Meymac, France",260
31-Mar-09,31-Mar-09,31-Mar-09,BRISTOL-MYERS SQUIBB,12.59,0.06,200,Air,ARV,"BMS Meymac, France",See ASN-3675 (ID#:1046)
15-Apr-09,15-Apr-09,15-Apr-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),10.28,0.17,60,Air,ARV,ABBVIE Ludwigshafen Germany,893.22
31-Mar-09,2-Dec-08,2-Dec-08,S. BUYS WHOLESALER,15.71,0.52,30,Air,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
7-Apr-09,3-Dec-08,3-Dec-08,S. BUYS WHOLESALER,14.24,0.47,30,Air,ARV,"Cipla, Goa, India",Freight Included in Commodity Cost
7-Apr-09,3-Dec-08,3-Dec-08,S. BUYS WHOLESALER,3.56,0.01,240,Air,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
5-May-09,23-Dec-08,23-Dec-08,S. BUYS WHOLESALER,1.2,0.01,200,Air,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
12-May-09,30-Dec-08,30-Dec-08,S. BUYS WHOLESALER,5.84,0.02,240,Air,ARV,GSK Mississauga (Canada),Freight Included in Commodity Cost
31-Mar-09,21-Nov-08,21-Nov-08,S. BUYS WHOLESALER,2.82,0.05,60,Air,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
25-Jun-09,21-Apr-09,21-Apr-09,S. BUYS WHOLESALER,5.65,0.02,240,Air,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
25-Jun-09,5-Jun-09,5-Jun-09,S. BUYS WHOLESALER,3.14,0.1,30,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
25-Jun-09,17-Jun-09,17-Jun-09,S. BUYS WHOLESALER,5.65,0.02,240,Air,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
19-Aug-09,19-Aug-09,19-Aug-09,S. BUYS WHOLESALER,3.95,0.07,60,Truck,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
25-Jun-09,14-Apr-09,14-Apr-09,S. BUYS WHOLESALER,35.98,0.3,120,Air,ARV,ABBVIE Ludwigshafen Germany,Freight Included in Commodity Cost
25-Jun-09,29-Apr-09,29-Apr-09,S. BUYS WHOLESALER,13.44,0.22,60,Air,ARV,GSK Aranda,Freight Included in Commodity Cost
25-Jun-09,20-Apr-09,20-Apr-09,S. BUYS WHOLESALER,3.0,0.05,60,Air,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
13-Nov-09,13-Nov-09,13-Nov-09,Orasure Technologies Inc.,350.0,3.5,100,Air,HRDT,"Pacific Biotech, Thailand",1172.11
30-Jun-09,30-Jun-09,30-Jun-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),41.1,0.34,120,Air,ARV,ABBVIE Ludwigshafen Germany,14806.48
22-Jul-09,22-Jul-09,22-Jul-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),38.36,0.11,336,Air,ARV,ABBVIE (Abbott) Logis. UK,7642.97
31-Jul-09,21-Apr-09,21-Apr-09,S. BUYS WHOLESALER,36.0,0.12,300,Truck,ARV,ABBVIE (Abbott) Logis. UK,Freight Included in Commodity Cost
15-May-09,17-Apr-09,17-Apr-09,S. BUYS WHOLESALER,35.2,1.17,30,Truck,ARV,"Aspen-OSD, Port Elizabeth, SA",Freight Included in Commodity Cost
15-May-09,23-Apr-09,23-Apr-09,S. BUYS WHOLESALER,19.77,0.33,60,Truck,ARV,"Aurobindo Unit III, India",3134.85
16-Sep-09,16-Sep-09,16-Sep-09,Orasure Technologies Inc.,350.0,3.5,100,Air,HRDT,"Pacific Biotech, Thailand",3128.19
10-Jul-09,10-Jul-09,10-Jul-09,"Orgenics, Ltd",80.0,0.8,100,Air,HRDT,Inverness Japan,16835.31
18-Aug-09,18-Aug-09,18-Aug-09,"Orgenics, Ltd",80.0,0.8,100,Air,HRDT,Inverness Japan,24514.33
25-Jul-09,25-Jul-09,25-Jul-09,HETERO LABS LIMITED,6.98,0.23,30,Air,ARV,Hetero Unit III Hyderabad IN,37404.74
15-Sep-09,15-Sep-09,15-Sep-09,BIO-RAD LABORATORIES (FRANCE),110.0,2.75,40,Air,HRDT,Bio-Rad Laboratories,8074.03
17-Jul-09,17-Jul-09,17-Jul-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),76.72,0.23,336,Air,ARV,ABBVIE (Abbott) France,3366.04
10-Jul-09,10-Jul-09,10-Jul-09,Aurobindo Pharma Limited,11.15,0.19,60,Air,ARV,"Aurobindo Unit III, India",6341.88
12-Jun-09,10-Jul-09,10-Jul-09,Orasure Technologies Inc.,350.0,3.5,100,Air,HRDT,"Pacific Biotech, Thailand",684.42
1-Sep-09,1-Sep-09,1-Sep-09,"Orgenics, Ltd",75.0,3.0,25,Air,HRDT,Chembio Diagnostics Sys. Inc.,401.97
28-Jul-09,28-Jul-09,28-Jul-09,BRISTOL-MYERS SQUIBB,7.0,0.12,60,Air,ARV,"BMS Meymac, France",14.36
29-Jun-09,29-Jun-09,29-Jun-09,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",1736.18
28-Jul-09,28-Jul-09,28-Jul-09,S. BUYS WHOLESALER,9.8,0.12,84,Truck,ARV,ABBVIE (Abbott) Logis. UK,Freight Included in Commodity Cost
12-Oct-09,5-Aug-09,5-Aug-09,S. BUYS WHOLESALER,8.26,0.14,60,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
12-Oct-09,28-Jul-09,28-Jul-09,S. BUYS WHOLESALER,6.17,0.03,240,Truck,ARV,GSK Mississauga (Canada),Freight Included in Commodity Cost
27-Jun-06,27-Jun-06,27-Jun-06,BIO-RAD LABORATORIES (FRANCE),75.35,1.88,40,Air,HRDT,Bio-Rad Laboratories,1816.57
14-Jul-06,14-Jul-06,14-Jul-06,Orasure Technologies Inc.,400.0,4.0,100,Air,HRDT,"Pacific Biotech, Thailand",1039.5
16-Nov-06,16-Nov-06,16-Nov-06,BRISTOL-MYERS SQUIBB,7.0,0.12,60,Air,ARV,"BMS Meymac, France",3292.15
9-Nov-06,9-Nov-06,9-Nov-06,Orasure Technologies Inc.,400.0,4.0,100,Air,HRDT,"Pacific Biotech, Thailand",1195.29
7-Nov-06,7-Nov-06,7-Nov-06,INTERNATIONAL HEALTHCARE DISTRIBUTORS,42.68,0.24,180,Air,ARV,ABBVIE (Abbott) St. P'burg USA,Freight Included in Commodity Cost
7-Dec-06,7-Dec-06,7-Dec-06,Aurobindo Pharma Limited,3.35,0.06,60,Air,ARV,"Aurobindo Unit III, India",4861.14
14-Mar-07,14-Mar-07,14-Mar-07,CIPLA LIMITED,11.0,0.18,60,Air,ARV,"Cipla, Goa, India",18772.94
14-Mar-07,14-Mar-07,14-Mar-07,STRIDES ARCOLAB LIMITED,1.51,0.03,60,Air,ARV,"Strides, Bangalore, India.",42453.21
29-Dec-06,29-Dec-06,29-Dec-06,"Trinity Biotech, Plc",40.0,2.0,20,Air,HRDT,"Trinity Biotech, Plc",4989.87
15-Feb-07,15-Feb-07,15-Feb-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),41.1,0.34,120,Air,ARV,ABBSP,Freight Included in Commodity Cost
12-May-07,12-May-07,12-May-07,CIPLA LIMITED,7.5,0.12,60,Air,ARV,"Cipla, Goa, India",31858.09
27-Feb-07,27-Feb-07,27-Feb-07,CIPLA LIMITED,15.2,0.51,30,Air,ARV,"Cipla, Goa, India",See ASN-242 (ID#:64)
27-Feb-07,27-Feb-07,27-Feb-07,CIPLA LIMITED,36.1,0.6,60,Air,ARV,"Cipla, Patalganga, India",See ASN-242 (ID#:64)
28-Dec-06,28-Dec-06,28-Dec-06,Abbott GmbH & Co. KG,80.0,0.8,100,Air,HRDT,ABBVIE GmbH & Co.KG Wiesbaden,Invoiced Separately
24-Aug-07,24-Aug-07,24-Aug-07,CIPLA LIMITED,7.5,0.12,60,Air,ARV,"Cipla, Goa, India",21439.59
15-Mar-07,30-Mar-07,30-Mar-07,BIO-RAD LABORATORIES (FRANCE),76.0,1.9,40,Air,HRDT,Bio-Rad Laboratories,4445.75
15-Jan-07,15-Jan-07,15-Jan-07,Abbott GmbH & Co. KG,80.0,0.8,100,Air,HRDT,ABBVIE GmbH & Co.KG Wiesbaden,24859.45
23-Oct-07,23-Oct-07,23-Oct-07,BRISTOL-MYERS SQUIBB,9.5,0.16,60,Air,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
7-Sep-07,7-Sep-07,7-Sep-07,Abbott GmbH & Co. KG,80.0,0.8,100,Air,HRDT,ABBVIE GmbH & Co.KG Wiesbaden,5858.57
2-Oct-07,2-Oct-07,2-Oct-07,BRISTOL-MYERS SQUIBB,9.5,0.16,60,Air,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
2-Oct-07,2-Oct-07,2-Oct-07,Aurobindo Pharma Limited,1.92,0.01,240,Air,ARV,"Aurobindo Unit III, India",13762.41
2-Oct-07,2-Oct-07,2-Oct-07,Aurobindo Pharma Limited,2.1,0.01,240,Air,ARV,"Aurobindo Unit III, India",See ASN-744 (ID#:1356)
15-Oct-07,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,2.1,0.01,240,Air,ARV,"Aurobindo Unit III, India",See ASN-781 (ID#:115)
15-Oct-07,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,13.5,0.22,60,Air,ARV,"Aurobindo Unit III, India",4454.62
23-Nov-07,23-Nov-07,23-Nov-07,Aurobindo Pharma Limited,12.33,0.41,30,Air,ARV,"Aurobindo Unit III, India",16095.39
27-Aug-07,27-Aug-07,27-Aug-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),82.19,0.68,120,Air,ARV,ABBVIE Ludwigshafen Germany,1767.38
19-Sep-07,19-Sep-07,19-Sep-07,"Standard Diagnostics, Inc.",20.0,0.8,25,Air,HRDT,"Standard Diagnostics, Korea",25165.3
28-Jan-08,28-Jan-08,28-Jan-08,ASPEN PHARMACARE,17.0,0.57,30,Air,ARV,"Aspen-OSD, Port Elizabeth, SA",7922.24
29-Jan-08,29-Jan-08,29-Jan-08,"JSI R&T INSTITUTE, INC.",48.26,0.16,300,0,ARV,ABBVIE (Abbott) Logis. UK,Freight Included in Commodity Cost
29-Jan-08,29-Jan-08,29-Jan-08,"JSI R&T INSTITUTE, INC.",28.5,0.95,30,0,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
28-Mar-08,28-Mar-08,28-Mar-08,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),183.33,0.55,336,Air,ARV,ABBVIE (Abbott) Logis. UK,2535.4
21-Jan-08,21-Jan-08,21-Jan-08,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",27.0,1.35,20,Air,HRDT,Chembio Diagnostics Sys. Inc.,28002.75
28-Jan-08,28-Jan-08,28-Jan-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),27.5,0.46,60,Air,ARV,Mylan (formerly Matrix) Nashik,1511.25
1-Feb-08,1-Feb-08,1-Feb-08,Aurobindo Pharma Limited,1.75,0.03,60,Air,ARV,"Aurobindo Unit III, India",2429.85
27-Dec-07,27-Dec-07,27-Dec-07,Orasure Technologies Inc.,350.0,3.5,100,Air,HRDT,"Pacific Biotech, Thailand",Freight Included in Commodity Cost
5-Feb-08,5-Feb-08,5-Feb-08,"Orgenics, Ltd",79.99,0.8,100,Air,HRDT,Inverness Japan,2577.27
21-Jan-08,4-Jan-08,4-Jan-08,"JSI R&T INSTITUTE, INC.",5.73,0.1,60,0,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
3-Jul-08,3-Jul-08,3-Jul-08,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",2496.62
19-Sep-08,16-Jul-08,16-Jul-08,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",27.0,1.35,20,Air,HRDT,Chembio Diagnostics Sys. Inc.,18864.37
